Id;Référence;Boitier;Quantité;Désignation;Fournisseur et réf.
1;P1;RJ11SMT;1;RJ12;95501-6669
2;U2;SOT23_6;1;74L2G04;SN74LVC2G04DBVR
3;R1,R2;SM0603;2;8k25;RP73PF1J8K25BTDF
4;R3,R4;SM0603;2;1k1;RP73PF1J1K1BTDF
5;R43,R42,R41,R40,R39,R37,R38,R36,R34,R33,R32,R31,R30,R35,R21;SM0402;15;100;RC0402JR-07100RL
6;R24,R23,R26,R25,R22,R20,R46;SM0402;7;49;RC0402JR-0747RL
7;C8,C1,C2,C3,C13,C12,C5,C7,C9,C10,C6,C11;SM0402;12;100n;GRM155R71C104KA88D
8;R5,R47;SM0402;2;1k;RC0402JR-071KL
9;R19,R18,R17,R16,R15,R14,R13,R11,R10,R9,R8,R7,R12,R6;SM0402;14;33;RC0402JR-0747RL
10;U1;LQFP32;1;ADC14L020;
11;X1;Sit7x5;1;CMOS_OSCI;
12;U3;SSOP48;1;74LS16374;SN74LVC16374DL
13;P2,P3;PIN_ARRAY_3X1;2;CONN_3;MC34735
14;P4;pin_array_10x2;1;CONN_20;MC34735
15;D1;SM1206POL;1;LED PW;KP-3216CGCK
16;D2;SM1206POL;1;LED EN;KPT-3216SURCK
17;R44,R45;SM0402;2;47;
18;C15,C16,C18,C19,C4;SM0603;5;10u;C1608X5R1A106M
19;Q1;SOT323;1;MOS_N;NX3008NBKW
20;D6,D5,D3,D4;SOD523;4;3.3V;BZX585-C3V3
21;,,,,,,,,,;1pin;10;;
22;T1;B0727-BL;1;B0727-BL;
23;T2;1812DPS;1;1812DPS;
24;T3;PWB2010LB;1;PWB2010L;
25;C20;ESMT18;1;100u;MCESL16V107M6.3X5.2
